Jogador;Clube;Numero_Camisa;Nacionalidade;Posicao_em_Campo;idade;Minutos_em_Campo;Gols;Assitencias;Penaltis_Batidos;Penaltis_Tentados;Total_Chutes;Chutes_a_Gol;Cartao_Amarelo;Cartao_Vermelho;Toques_na_Bola;Desarmes;Interceptacoes;Bloqueios;Gols_Esperados;Assistencias_Esperadas;Acoes_de_Criacao;Acoes_de_Gol;Passes_Completos;Passes_Tentados;Prct_Passes_Certos;Passes_Progressivos;Conducoes_de_Bola;Conducoes_Progressivas;Dribles_Tentados;Dribles_Completos;Data
Kauã Elias;Fluminense;19;BRA;FW;18-218;77;1;0;0;0;6;2;1;0;41;1;0;0;0,4;0,9;4;1;21;27;77,8;2;29;2;3;2;01/11/2024
Germán Cano;Fluminense;14;ARG;FW;36-273;13;0;0;0;0;0;0;0;0;6;0;0;0;0;0,2;1;0;4;4;100;1;4;0;0;0;01/11/2024
Keno;Fluminense;11;BRA;LW;35-052;89;0;0;0;0;3;1;0;0;42;3;0;1;0,3;0;4;1;26;30;86,7;2;28;0;1;0;01/11/2024
Marquinhos;Fluminense;77;BRA;LW;21-208;1;0;0;0;0;0;0;0;0;5;2;0;0;0;0;0;0;1;1;100;0;2;0;0;0;01/11/2024
Jhon Arias;Fluminense;21;COL;RW;27-041;90;1;0;0;0;4;2;1;0;71;2;0;1;0,8;0;3;0;48;57;84,2;8;57;5;4;3;01/11/2024
Ganso;Fluminense;10;BRA;AM;35-020;78;0;1;0;0;0;0;1;0;73;0;1;0;0;0,3;7;1;61;72;84,7;6;53;1;1;1;01/11/2024
Nonato;Fluminense;16;BRA;AM;26-243;12;0;0;0;0;1;1;0;0;9;0;0;0;0,2;0;0;0;5;6;83,3;1;6;0;0;0;01/11/2024
Lima;Fluminense;45;BRA;DM;28-143;89;0;1;0;0;3;1;0;0;75;4;1;1;0,7;0,2;7;1;53;60;88,3;7;52;1;2;1;01/11/2024
John Kennedy;Fluminense;9;BRA;DM;22-167;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;1;100;0;1;0;0;0;01/11/2024
Martinelli;Fluminense;8;BRA;DM;23-175;66;0;0;0;0;0;0;1;0;48;2;0;2;0;0;0;0;36;44;81,8;6;31;1;0;0;01/11/2024
Facundo Bernal;Fluminense;5;URU;DM;21-072;24;0;0;0;0;0;0;0;0;11;3;1;0;0;0;0;0;4;7;57,1;2;4;0;0;0;01/11/2024
Diogo Barbosa;Fluminense;6;BRA;LB;32-076;90;0;0;0;0;0;0;0;0;81;2;0;0;0;0,6;4;0;63;80;78,8;3;53;1;0;0;01/11/2024
Thiago dos Santos;Fluminense;29;BRA;CB;35-057;90;0;0;0;0;0;0;1;0;92;0;2;2;0;0;1;0;75;85;88,2;5;78;2;0;0;01/11/2024
Thiago Silva;Fluminense;3;BRA;CB;40-040;90;0;0;0;0;0;0;0;0;76;2;0;0;0;0;1;0;67;74;90,5;2;48;1;0;0;01/11/2024
Samuel Xavier;Fluminense;2;BRA;RB;34-148;90;0;0;0;0;1;0;0;0;61;3;1;1;0;0;0;0;47;53;88,7;6;33;1;0;0;01/11/2024
Fábio;Fluminense;1;BRA;GK;44-032;90;0;0;0;0;0;0;1;0;17;0;0;0;0;0;0;0;10;14;71,4;0;9;0;0;0;01/11/2024
Martin Braithwaite;Grêmio;22;DEN;FW;33-149;67;1;0;0;0;1;1;1;0;17;0;0;0;0,4;0;1;0;9;11;81,8;1;7;0;0;0;01/11/2024
Diego Costa;Grêmio;19;ESP;FW;36-025;23;0;0;0;0;0;0;0;0;11;0;0;1;0;0;0;0;5;5;100;0;4;0;1;1;01/11/2024
Alexander Aravena;Grêmio;16;CHI;LW;22-056;67;0;0;0;0;1;0;0;0;22;0;0;0;0,1;0;3;0;12;15;80;3;13;4;4;2;01/11/2024
Nathan Fernandes;Grêmio;32;BRA;LW;19-259;23;0;0;0;0;0;0;0;0;8;0;0;1;0;0;1;1;3;5;60;1;8;0;1;0;01/11/2024
Yeferson Soteldo;Grêmio;7;VEN;RW;27-124;81;0;0;0;0;0;0;1;0;28;1;0;2;0;0,1;1;0;15;24;62,5;2;20;4;2;1;01/11/2024
Miguel Monsalve;Grêmio;11;COL;RW;20-248;9;0;0;0;0;0;0;0;0;6;1;0;0;0;0;0;0;3;3;100;1;1;1;2;1;01/11/2024
Edenílson;Grêmio;15;BRA;AM;34-319;67;0;0;0;0;0;0;0;0;27;0;1;1;0;0;0;0;12;19;63,2;1;13;1;2;0;01/11/2024
Franco Cristaldo;Grêmio;10;ARG;AM;28-078;23;0;0;0;0;1;0;0;0;24;0;0;0;0,1;0;1;0;19;21;90,5;4;15;0;1;1;01/11/2024
